timestamp_ms,class,x_min,y_min,x_max,y_max
100.1,person,3442,1165,3550,1408
100.1,car,1857,948,1967,1056
100.1,traffic light,2887,751,2975,848
133.46666666666667,person,1703,1194,1879,1589
133.46666666666667,person,3234,1350,3480,1740
133.46666666666667,car,2292,1913,3524,2143
133.46666666666667,traffic light,517,715,695,1095
133.46666666666667,person,17,1224,235,1703
133.46666666666667,person,954,1239,1152,1691
133.46666666666667,person,230,1110,389,1424
133.46666666666667,traffic light,2867,749,2993,1089
133.46666666666667,person,3606,1176,3706,1431
133.46666666666667,person,3434,1167,3557,1409
133.46666666666667,car,1857,949,1966,1056
133.46666666666667,traffic light,2886,750,2977,856
133.46666666666667,person,1070,983,1142,1160
133.46666666666667,person,1640,1053,1700,1179
166.83333333333334,person,1701,1188,1851,1593
166.83333333333334,person,3303,1347,3490,1746
166.83333333333334,car,2291,1914,3524,2143
166.83333333333334,traffic light,518,715,696,1095
166.83333333333334,person,4,1225,230,1701
166.83333333333334,person,940,1240,1151,1703
166.83333333333334,person,227,1114,405,1428
166.83333333333334,traffic light,2870,749,2995,1080
166.83333333333334,person,3605,1174,3706,1432
166.83333333333334,person,3433,1165,3553,1411
166.83333333333334,car,1857,949,1966,1056
166.83333333333334,traffic light,2885,750,2978,864
166.83333333333334,person,1072,982,1142,1159
166.83333333333334,person,3692,1152,3787,1417
166.83333333333334,person,1634,1046,1697,1180
200.2,person,1697,1192,1812,1594
200.2,person,3322,1347,3491,1743
200.2,car,2291,1914,3525,2143
200.2,traffic light,517,715,696,1095
200.2,person,0,1230,226,1704
200.2,person,921,1240,1149,1701
200.2,person,229,1119,419,1442
200.2,traffic light,2867,749,2992,1087
200.2,person,3605,1175,3707,1433
200.2,person,3436,1165,3550,1413
200.2,car,1857,949,1966,1056
200.2,traffic light,2885,750,2978,893
200.2,person,1072,983,1140,1157
200.2,person,3695,1136,3796,1422
200.2,person,1630,1043,1694,1180
233.56666666666663,person,1688,1190,1788,1591
233.56666666666663,person,3338,1344,3495,1746
233.56666666666663,car,2291,1914,3525,2143
233.56666666666663,traffic light,517,715,695,1094
233.56666666666663,person,0,1232,226,1704
233.56666666666663,person,904,1242,1153,1708
233.56666666666663,person,260,1125,424,1444
233.56666666666663,traffic light,2871,750,2994,1076
233.56666666666663,person,3606,1175,3707,1433
233.56666666666663,person,3442,1161,3560,1413
233.56666666666663,car,1857,949,1966,1057
233.56666666666663,traffic light,2886,751,2977,889
233.56666666666663,person,1073,983,1140,1158
233.56666666666663,person,3699,1157,3792,1419
233.56666666666663,person,1628,1040,1690,1182
266.93333333333334,person,1679,1195,1773,1595
266.93333333333334,person,3347,1346,3508,1753
266.93333333333334,car,2291,1913,3527,2143
266.93333333333334,traffic light,517,715,696,1095
266.93333333333334,person,0,1239,216,1706
266.93333333333334,person,890,1246,1152,1713
266.93333333333334,person,259,1126,420,1444
266.93333333333334,traffic light,2872,751,2993,1069
266.93333333333334,person,3603,1176,3709,1434
266.93333333333334,person,3443,1162,3575,1416
266.93333333333334,car,1857,948,1966,1057
266.93333333333334,traffic light,2886,752,2976,873
266.93333333333334,person,1076,983,1142,1159
266.93333333333334,person,3700,1152,3792,1418
266.93333333333334,person,1628,1040,1684,1181
266.93333333333334,person,235,1131,354,1421
266.93333333333334,person,897,1246,1094,1674
300.3,person,1669,1195,1766,1597
300.3,person,3365,1344,3525,1755
300.3,car,2292,1913,3528,2143
300.3,traffic light,518,716,696,1094
300.3,person,0,1239,210,1710
300.3,person,874,1246,1151,1719
300.3,person,247,1127,417,1441
300.3,traffic light,2872,751,2992,1055
300.3,person,3602,1175,3710,1433
300.3,person,3445,1163,3574,1420
300.3,car,1857,948,1965,1057
300.3,traffic light,2885,752,2976,941
300.3,person,1076,983,1142,1160
300.3,person,3702,1154,3789,1417
300.3,person,1628,1040,1681,1179
300.3,car,2112,1047,2222,1165
333.6666666666667,person,1656,1193,1761,1597
333.6666666666667,person,3391,1343,3541,1769
333.6666666666667,car,2292,1913,3529,2143
333.6666666666667,traffic light,519,716,696,1094
333.6666666666667,person,0,1240,206,1714
333.6666666666667,person,855,1245,1133,1721
333.6666666666667,person,249,1126,417,1440
333.6666666666667,traffic light,2872,751,2991,1046
333.6666666666667,person,3603,1174,3712,1433
333.6666666666667,car,1857,947,1965,1057
333.6666666666667,traffic light,2885,752,2976,916
333.6666666666667,person,1076,984,1141,1160
333.6666666666667,person,3703,1172,3794,1417
333.6666666666667,car,2104,1043,2221,1164
333.6666666666667,person,243,1141,361,1419
367.03333333333336,person,1628,1189,1757,1599
367.03333333333336,person,3407,1343,3574,1777
367.03333333333336,car,2292,1912,3531,2143
367.03333333333336,traffic light,520,716,697,1095
367.03333333333336,person,0,1243,202,1714
367.03333333333336,person,835,1246,1119,1721
367.03333333333336,person,255,1124,424,1439
367.03333333333336,traffic light,2871,751,2992,1044
367.03333333333336,person,3606,1172,3714,1434
367.03333333333336,car,1857,948,1965,1057
367.03333333333336,person,1078,983,1143,1159
367.03333333333336,person,3705,1177,3793,1415
367.03333333333336,car,2102,1044,2219,1164
367.03333333333336,person,249,1134,363,1430
367.03333333333336,person,816,1250,1044,1689
367.03333333333336,person,1615,1046,1676,1182
400.4,person,1599,1191,1756,1603
400.4,person,3431,1346,3611,1780
400.4,car,2292,1913,3531,2143
400.4,traffic light,519,716,695,1095
400.4,person,0,1240,196,1717
400.4,person,844,1250,1113,1721
400.4,person,263,1127,417,1440
400.4,traffic light,2871,750,2992,1040
400.4,person,3608,1174,3714,1435
400.4,car,1857,948,1965,1057
400.4,person,1078,982,1145,1158
400.4,person,3707,1174,3802,1419
400.4,car,2091,1041,2220,1164
400.4,person,259,1132,368,1432
400.4,person,336,1119,436,1440
400.4,person,801,1253,1040,1688
400.4,person,1609,1045,1673,1183
400.4,traffic light,2884,752,2977,970
433.7666666666667,person,1574,1191,1756,1604
433.7666666666667,person,3404,1346,3633,1779
433.7666666666667,car,2292,1913,3531,2143
433.7666666666667,traffic light,520,716,693,1096
433.7666666666667,person,0,1237,192,1721
433.7666666666667,person,860,1252,1080,1719
433.7666666666667,person,281,1130,436,1445
433.7666666666667,traffic light,2872,751,2991,1037
433.7666666666667,person,3608,1172,3715,1435
433.7666666666667,car,1857,948,1965,1058
433.7666666666667,person,1079,982,1146,1158
433.7666666666667,person,3708,1175,3804,1417
433.7666666666667,car,2094,1041,2221,1164
433.7666666666667,person,334,1126,441,1444
433.7666666666667,person,796,1250,1030,1682
433.7666666666667,person,1603,1048,1675,1192
433.7666666666667,traffic light,2884,754,2977,964
467.1333333333333,person,1559,1197,1757,1604
467.1333333333333,person,3444,1349,3642,1778
467.1333333333333,car,2292,1913,3533,2144
467.1333333333333,traffic light,520,717,694,1096
467.1333333333333,person,0,1235,187,1717
467.1333333333333,person,874,1260,1069,1725
467.1333333333333,person,292,1130,428,1439
467.1333333333333,traffic light,2872,751,2992,1035
467.1333333333333,person,3606,1173,3717,1434
467.1333333333333,car,1857,947,1965,1058
467.1333333333333,person,1080,982,1149,1163
467.1333333333333,person,3711,1175,3808,1418
467.1333333333333,car,2093,1039,2222,1163
467.1333333333333,person,335,1124,447,1436
467.1333333333333,person,785,1249,975,1658
467.1333333333333,person,1596,1045,1678,1201
467.1333333333333,traffic light,2884,754,2977,975
500.50000000000006,person,1546,1199,1755,1603
500.50000000000006,person,3468,1354,3645,1778
500.50000000000006,car,2292,1914,3533,2144
500.50000000000006,traffic light,520,716,694,1096
500.50000000000006,person,0,1235,182,1720
500.50000000000006,person,815,1252,1033,1725
500.50000000000006,traffic light,2873,752,2992,1035
500.50000000000006,person,3605,1173,3715,1433
500.50000000000006,car,1857,948,1965,1058
500.50000000000006,person,1081,980,1152,1164
500.50000000000006,person,3715,1174,3811,1421
500.50000000000006,car,2087,1039,2222,1162
500.50000000000006,person,346,1115,456,1428
500.50000000000006,person,781,1244,973,1658
500.50000000000006,traffic light,2885,755,2976,937
533.8666666666667,person,1541,1213,1755,1602
533.8666666666667,person,3493,1352,3650,1779
533.8666666666667,car,2292,1914,3532,2143
533.8666666666667,traffic light,521,716,693,1097
533.8666666666667,person,0,1237,177,1725
533.8666666666667,person,799,1252,1006,1725
533.8666666666667,traffic light,2872,751,2992,1036
533.8666666666667,person,3605,1174,3714,1436
533.8666666666667,car,1857,948,1965,1059
533.8666666666667,person,1084,980,1155,1164
533.8666666666667,car,2083,1038,2222,1162
533.8666666666667,person,358,1120,469,1429
533.8666666666667,traffic light,2885,754,2976,927
533.8666666666667,person,3425,1168,3525,1409
567.2333333333333,person,1534,1218,1754,1602
567.2333333333333,person,3516,1357,3660,1780
567.2333333333333,car,2292,1914,3532,2143
567.2333333333333,traffic light,521,716,692,1100
567.2333333333333,person,0,1234,176,1729
567.2333333333333,person,792,1247,986,1724
567.2333333333333,traffic light,2872,751,2993,1035
567.2333333333333,person,3604,1173,3713,1436
567.2333333333333,car,1857,948,1966,1059
567.2333333333333,person,1085,976,1158,1163
567.2333333333333,car,2083,1036,2222,1162
567.2333333333333,person,364,1123,486,1431
567.2333333333333,traffic light,2884,753,2976,967
567.2333333333333,person,3425,1164,3521,1408
600.6,person,1532,1216,1750,1600
600.6,person,3529,1359,3670,1782
600.6,car,2292,1914,3532,2143
600.6,traffic light,521,716,692,1099
600.6,person,0,1231,173,1731
600.6,person,788,1247,973,1714
600.6,traffic light,2873,751,2993,1038
600.6,person,3607,1171,3712,1437
600.6,car,1857,947,1966,1059
600.6,person,1086,976,1157,1164
600.6,car,2076,1035,2222,1163
600.6,person,360,1126,493,1438
600.6,traffic light,2885,753,2977,986
600.6,person,3426,1161,3517,1402
600.6,person,1575,1050,1658,1193
633.9666666666667,person,1539,1220,1742,1600
633.9666666666667,person,3537,1353,3685,1782
633.9666666666667,car,2292,1914,3532,2143
633.9666666666667,traffic light,521,716,693,1099
633.9666666666667,person,0,1232,169,1735
633.9666666666667,person,777,1245,973,1712
633.9666666666667,traffic light,2873,750,2993,1040
633.9666666666667,car,1857,948,1965,1059
633.9666666666667,person,1087,978,1159,1163
633.9666666666667,car,2071,1034,2224,1162
633.9666666666667,person,358,1131,503,1444
633.9666666666667,traffic light,2885,752,2977,960
633.9666666666667,person,3425,1159,3517,1405
633.9666666666667,person,1569,1041,1651,1202
633.9666666666667,person,3722,1181,3831,1425
667.3333333333334,person,1538,1217,1733,1599
667.3333333333334,person,3542,1351,3692,1782
667.3333333333334,car,2291,1914,3532,2143
667.3333333333334,traffic light,521,716,692,1098
667.3333333333334,person,0,1234,165,1745
667.3333333333334,person,770,1244,974,1710
667.3333333333334,traffic light,2874,750,2994,1040
667.3333333333334,car,1857,949,1965,1059
667.3333333333334,person,1090,981,1159,1162
667.3333333333334,car,2071,1033,2224,1161
667.3333333333334,person,361,1133,510,1448
667.3333333333334,traffic light,2885,752,2977,945
667.3333333333334,person,3425,1160,3518,1391
667.3333333333334,person,1564,1039,1647,1213
667.3333333333334,person,3522,1167,3622,1418
667.3333333333334,person,3730,1186,3835,1427
700.7,person,1537,1217,1701,1598
700.7,person,3541,1351,3709,1782
700.7,car,2291,1914,3531,2143
700.7,traffic light,522,717,693,1097
700.7,person,0,1234,162,1756
700.7,person,749,1239,976,1716
700.7,traffic light,2874,751,2994,1045
700.7,car,1857,951,1965,1059
700.7,person,1091,984,1160,1163
700.7,car,2068,1035,2224,1160
700.7,person,364,1140,526,1446
700.7,traffic light,2886,753,2977,919
700.7,person,3423,1161,3515,1400
700.7,person,1561,1040,1643,1218
700.7,person,3520,1167,3620,1425
700.7,person,3738,1181,3838,1429
700.7,person,362,1142,473,1443
734.0666666666667,person,1538,1216,1671,1597
734.0666666666667,person,3555,1354,3729,1777
734.0666666666667,car,2291,1915,3530,2143
734.0666666666667,traffic light,521,716,695,1097
734.0666666666667,person,0,1240,156,1758
734.0666666666667,person,738,1231,974,1721
734.0666666666667,traffic light,2874,751,2994,1041
734.0666666666667,car,1857,949,1966,1059
734.0666666666667,person,1092,986,1162,1161
734.0666666666667,car,2072,1035,2224,1160
734.0666666666667,person,369,1144,530,1449
734.0666666666667,traffic light,2886,753,2977,960
734.0666666666667,person,3422,1162,3515,1398
734.0666666666667,person,1558,1040,1637,1223
734.0666666666667,person,3518,1171,3616,1430
734.0666666666667,person,3738,1177,3839,1427
734.0666666666667,person,366,1141,477,1443
767.4333333333334,person,1534,1201,1646,1597
767.4333333333334,person,3578,1350,3750,1779
767.4333333333334,car,2292,1916,3530,2143
767.4333333333334,traffic light,521,716,697,1098
767.4333333333334,person,0,1242,149,1760
767.4333333333334,person,724,1230,974,1721
767.4333333333334,traffic light,2875,751,2993,1039
767.4333333333334,car,1857,948,1967,1059
767.4333333333334,person,1094,986,1164,1161
767.4333333333334,car,2073,1035,2224,1160
767.4333333333334,person,391,1142,531,1448
767.4333333333334,traffic light,2886,753,2977,991
767.4333333333334,person,3421,1164,3517,1397
767.4333333333334,person,1556,1038,1635,1204
767.4333333333334,person,3513,1174,3621,1433
767.4333333333334,person,3744,1179,3839,1429
800.8000000000001,person,1526,1195,1631,1599
800.8000000000001,person,3598,1346,3775,1784
800.8000000000001,car,2291,1916,3530,2144
800.8000000000001,traffic light,520,715,695,1098
800.8000000000001,person,0,1248,144,1752
800.8000000000001,person,718,1236,970,1721
800.8000000000001,traffic light,2874,751,2993,1039
800.8000000000001,car,1857,949,1967,1059
800.8000000000001,person,1096,987,1165,1160
800.8000000000001,car,2066,1033,2224,1161
800.8000000000001,person,400,1141,537,1450
800.8000000000001,traffic light,2886,753,2977,943
800.8000000000001,person,3422,1166,3516,1376
800.8000000000001,person,1553,1034,1632,1194
800.8000000000001,person,3510,1180,3620,1425
800.8000000000001,person,3591,1178,3718,1427
834.1666666666667,person,1517,1193,1621,1599
834.1666666666667,person,3583,1350,3815,1788
834.1666666666667,car,2291,1916,3529,2143
834.1666666666667,traffic light,521,715,695,1096
834.1666666666667,person,0,1254,138,1744
834.1666666666667,person,716,1240,959,1721
834.1666666666667,traffic light,2874,752,2993,1038
834.1666666666667,car,1857,950,1966,1059
834.1666666666667,person,1099,989,1165,1159
834.1666666666667,car,2073,1032,2224,1160
834.1666666666667,person,409,1139,539,1449
834.1666666666667,traffic light,2887,753,2976,929
834.1666666666667,person,3422,1167,3514,1372
834.1666666666667,person,1555,1034,1630,1188
834.1666666666667,person,3510,1187,3622,1421
834.1666666666667,person,3265,1073,3307,1210
834.1666666666667,person,3594,1179,3716,1430
834.1666666666667,person,3753,1179,3839,1429
867.5333333333334,person,1505,1189,1618,1597
867.5333333333334,person,3580,1359,3835,1790
867.5333333333334,car,2291,1914,3530,2143
867.5333333333334,traffic light,523,715,697,1094
867.5333333333334,person,0,1259,133,1736
867.5333333333334,person,714,1240,937,1719
867.5333333333334,traffic light,2870,752,2989,1046
867.5333333333334,car,1857,950,1966,1059
867.5333333333334,person,1107,988,1168,1157
867.5333333333334,car,2070,1031,2223,1160
867.5333333333334,person,414,1135,543,1448
867.5333333333334,person,3419,1168,3514,1351
867.5333333333334,person,1554,1032,1628,1183
867.5333333333334,person,3514,1188,3624,1423
867.5333333333334,person,3262,1075,3305,1211
867.5333333333334,person,3590,1180,3714,1431
867.5333333333334,person,3758,1177,3839,1428
900.9,person,1485,1197,1615,1597
900.9,person,3578,1366,3840,1790
900.9,car,2291,1915,3530,2143
900.9,traffic light,524,714,697,1095
900.9,person,0,1261,129,1733
900.9,person,711,1231,922,1707
900.9,traffic light,2873,753,2992,1042
900.9,car,1857,952,1964,1059
900.9,person,1109,989,1166,1157
900.9,car,2073,1033,2224,1160
900.9,person,422,1137,546,1452
900.9,person,3421,1169,3513,1367
900.9,person,1550,1034,1623,1186
900.9,person,3265,1074,3308,1211
900.9,person,3597,1185,3715,1431
900.9,person,3762,1171,3839,1428
900.9,traffic light,2886,755,2976,994
934.2666666666668,person,1457,1198,1618,1597
934.2666666666668,person,3578,1372,3840,1791
934.2666666666668,car,2290,1914,3531,2143
934.2666666666668,traffic light,525,714,699,1094
934.2666666666668,person,0,1262,122,1728
934.2666666666668,person,712,1242,903,1705
934.2666666666668,traffic light,2874,753,2990,1039
934.2666666666668,car,1857,951,1965,1059
934.2666666666668,person,1111,989,1169,1157
934.2666666666668,car,2065,1032,2224,1160
934.2666666666668,person,426,1134,555,1452
934.2666666666668,person,3421,1170,3512,1353
934.2666666666668,person,1541,1034,1620,1187
934.2666666666668,person,3263,1073,3308,1212
934.2666666666668,person,3604,1187,3715,1430
934.2666666666668,person,3764,1173,3838,1427
934.2666666666668,person,3523,1188,3631,1419
967.6333333333332,person,1434,1198,1618,1597
967.6333333333332,person,3587,1381,3840,1793
967.6333333333332,car,2291,1913,3531,2143
967.6333333333332,traffic light,525,714,697,1094
967.6333333333332,person,0,1265,117,1724
967.6333333333332,person,711,1254,883,1705
967.6333333333332,traffic light,2875,751,2992,1038
967.6333333333332,car,1857,950,1965,1059
967.6333333333332,person,1111,988,1172,1159
967.6333333333332,car,2061,1030,2225,1161
967.6333333333332,person,431,1129,562,1453
967.6333333333332,person,3423,1169,3510,1353
967.6333333333332,person,1536,1039,1617,1190
967.6333333333332,person,3263,1073,3308,1213
967.6333333333332,person,3610,1187,3716,1431
967.6333333333332,person,3765,1174,3839,1411
967.6333333333332,person,3534,1184,3633,1426
967.6333333333332,person,426,1134,531,1436
967.6333333333332,traffic light,2886,753,2977,990
1001.0,person,1409,1203,1620,1598
1001.0,person,3611,1375,3840,1794
1001.0,car,2291,1915,3531,2143
1001.0,traffic light,524,715,694,1093
1001.0,person,0,1267,111,1726
1001.0,person,707,1258,858,1703
1001.0,traffic light,2874,751,2992,1038
1001.0,car,1857,952,1964,1059
1001.0,person,1111,988,1174,1159
1001.0,car,2057,1030,2226,1160
1001.0,person,434,1136,566,1455
1001.0,person,3423,1169,3510,1367
1001.0,person,1528,1033,1612,1183
1001.0,person,3264,1073,3309,1212
1001.0,person,3615,1183,3714,1430
1001.0,person,3768,1181,3839,1401
1001.0,person,3538,1183,3637,1434
1001.0,traffic light,2886,754,2976,999
1034.3666666666666,person,1390,1206,1621,1599
1034.3666666666666,person,3683,1376,3840,1794
1034.3666666666666,car,2291,1915,3531,2143
1034.3666666666666,traffic light,523,716,693,1093
1034.3666666666666,person,0,1265,104,1728
1034.3666666666666,person,711,1259,854,1663
1034.3666666666666,traffic light,2874,752,2990,1038
1034.3666666666666,car,1857,952,1964,1059
1034.3666666666666,person,1112,989,1176,1159
1034.3666666666666,car,2060,1030,2226,1160
1034.3666666666666,person,436,1140,576,1459
1034.3666666666666,person,3422,1169,3511,1377
1034.3666666666666,person,3263,1074,3309,1211
1034.3666666666666,person,3617,1179,3712,1431
1034.3666666666666,person,3771,1191,3838,1397
1034.3666666666666,person,3539,1179,3637,1438
1034.3666666666666,traffic light,2886,754,2975,989
1067.7333333333331,person,1384,1209,1620,1600
1067.7333333333331,person,3723,1375,3840,1790
1067.7333333333331,car,2292,1914,3530,2143
1067.7333333333331,traffic light,522,716,690,1093
1067.7333333333331,person,0,1264,99,1729
1067.7333333333331,person,713,1268,853,1644
1067.7333333333331,traffic light,2874,751,2991,1041
1067.7333333333331,car,1857,951,1964,1059
1067.7333333333331,person,1113,990,1176,1157
1067.7333333333331,car,2054,1030,2225,1158
1067.7333333333331,person,441,1141,583,1461
1067.7333333333331,person,3422,1168,3511,1380
1067.7333333333331,person,3264,1074,3312,1212
1067.7333333333331,person,3618,1181,3712,1433
1067.7333333333331,person,3773,1189,3838,1406
1067.7333333333331,person,3546,1179,3638,1435
1067.7333333333331,traffic light,2886,753,2976,972
1101.1,person,1373,1209,1616,1601
1101.1,person,3744,1379,3840,1765
1101.1,car,2292,1915,3528,2143
1101.1,traffic light,522,716,690,1094
1101.1,person,0,1263,93,1723
1101.1,traffic light,2874,750,2990,1038
1101.1,car,1857,951,1963,1059
1101.1,person,1113,989,1176,1156
1101.1,car,2035,1029,2225,1158
1101.1,person,448,1143,594,1465
1101.1,person,3421,1168,3511,1391
1101.1,person,3264,1075,3312,1212
1101.1,person,3616,1180,3713,1434
1101.1,person,3773,1189,3838,1418
1101.1,person,3548,1180,3639,1434
1101.1,traffic light,2885,753,2976,987
1101.1,person,604,1257,816,1805
1134.4666666666667,person,1385,1204,1598,1595
1134.4666666666667,person,3762,1385,3840,1723
1134.4666666666667,car,2292,1914,3527,2143
1134.4666666666667,traffic light,522,716,689,1094
1134.4666666666667,person,0,1271,87,1715
1134.4666666666667,traffic light,2873,750,2990,1039
1134.4666666666667,car,1857,951,1963,1059
1134.4666666666667,person,1114,989,1175,1154
1134.4666666666667,car,2029,1029,2225,1158
1134.4666666666667,person,449,1150,593,1461
1134.4666666666667,person,3420,1167,3512,1396
1134.4666666666667,person,3265,1074,3314,1212
1134.4666666666667,person,3616,1181,3713,1435
1134.4666666666667,person,3772,1188,3838,1420
1134.4666666666667,person,3552,1179,3644,1438
1134.4666666666667,traffic light,2885,753,2976,995
1167.8333333333333,person,1395,1203,1577,1589
1167.8333333333333,person,3766,1406,3840,1740
1167.8333333333333,car,2291,1914,3526,2143
1167.8333333333333,traffic light,522,716,690,1095
1167.8333333333333,person,0,1285,82,1711
1167.8333333333333,traffic light,2874,750,2990,1039
1167.8333333333333,car,1857,952,1963,1059
1167.8333333333333,car,2031,1030,2226,1159
1167.8333333333333,person,452,1157,591,1458
1167.8333333333333,person,3419,1168,3513,1398
1167.8333333333333,person,3264,1075,3313,1212
1167.8333333333333,person,3622,1180,3711,1439
1167.8333333333333,person,3769,1186,3838,1425
1167.8333333333333,person,3555,1179,3651,1452
1201.2,person,1393,1199,1562,1588
1201.2,car,2291,1914,3523,2143
1201.2,traffic light,521,715,692,1095
1201.2,traffic light,2873,750,2991,1038
1201.2,car,1857,952,1963,1059
1201.2,car,2027,1030,2226,1159
1201.2,person,455,1161,593,1454
1201.2,person,3419,1168,3514,1399
1201.2,person,3264,1075,3313,1212
1201.2,person,3627,1181,3710,1439
1201.2,person,3765,1182,3838,1433
1201.2,person,3558,1184,3653,1453
1201.2,person,1121,985,1181,1153
1201.2,traffic light,2885,752,2976,984
1234.5666666666668,person,1377,1197,1541,1588
1234.5666666666668,car,2290,1914,3521,2143
1234.5666666666668,traffic light,521,714,695,1095
1234.5666666666668,traffic light,2873,750,2991,1038
1234.5666666666668,car,1857,949,1964,1058
1234.5666666666668,car,2035,1031,2227,1157
1234.5666666666668,person,459,1168,597,1453
1234.5666666666668,person,3419,1167,3515,1399
1234.5666666666668,person,3264,1075,3313,1212
1234.5666666666668,person,3628,1182,3708,1442
1234.5666666666668,person,3762,1156,3838,1440
1234.5666666666668,person,3558,1188,3663,1459
1234.5666666666668,person,1412,1201,1512,1587
1234.5666666666668,person,1123,982,1183,1154
1234.5666666666668,traffic light,2885,752,2976,997
1234.5666666666668,person,0,1304,73,1713
1267.9333333333334,person,1378,1198,1516,1587
1267.9333333333334,car,2291,1914,3521,2143
1267.9333333333334,traffic light,520,714,693,1095
1267.9333333333334,traffic light,2872,749,2991,1038
1267.9333333333334,car,1857,948,1965,1058
1267.9333333333334,car,2036,1032,2227,1157
1267.9333333333334,person,465,1170,606,1475
1267.9333333333334,person,3418,1167,3515,1399
1267.9333333333334,person,3264,1075,3313,1212
1267.9333333333334,person,3763,1167,3838,1447
1267.9333333333334,person,3555,1184,3673,1463
1267.9333333333334,person,1124,981,1184,1153
1267.9333333333334,traffic light,2885,752,2977,986
1267.9333333333334,person,0,1310,69,1714
1301.3000000000002,person,1382,1197,1500,1586
1301.3000000000002,car,2291,1915,3522,2143
1301.3000000000002,traffic light,519,715,691,1095
1301.3000000000002,traffic light,2872,749,2991,1038
1301.3000000000002,car,1858,952,1965,1057
1301.3000000000002,car,2040,1033,2226,1157
1301.3000000000002,person,474,1174,608,1490
1301.3000000000002,person,3418,1167,3514,1399
1301.3000000000002,person,3265,1075,3314,1212
1301.3000000000002,person,3768,1174,3838,1447
1301.3000000000002,person,3554,1187,3676,1462
1301.3000000000002,person,1125,980,1185,1153
1301.3000000000002,traffic light,2885,751,2977,974
1301.3000000000002,person,0,1302,66,1713
1301.3000000000002,person,3767,1083,3838,1448
1334.6666666666667,person,1380,1193,1482,1587
1334.6666666666667,car,2291,1915,3521,2143
1334.6666666666667,traffic light,519,716,691,1095
1334.6666666666667,traffic light,2873,750,2991,1036
1334.6666666666667,car,1858,953,1964,1058
1334.6666666666667,car,2042,1033,2226,1157
1334.6666666666667,person,489,1173,605,1503
1334.6666666666667,person,3419,1164,3514,1398
1334.6666666666667,person,3265,1075,3317,1212
1334.6666666666667,person,3555,1185,3681,1464
1334.6666666666667,person,1125,979,1185,1153
1334.6666666666667,traffic light,2886,751,2977,971
1334.6666666666667,person,0,1304,59,1702
1334.6666666666667,person,3774,1077,3838,1429
1368.0333333333335,person,1369,1188,1471,1594
1368.0333333333335,car,2291,1915,3524,2143
1368.0333333333335,traffic light,519,716,690,1093
1368.0333333333335,traffic light,2873,749,2992,1034
1368.0333333333335,car,1858,954,1964,1058
1368.0333333333335,car,2038,1033,2227,1157
1368.0333333333335,person,3420,1164,3512,1399
1368.0333333333335,person,3265,1075,3318,1212
1368.0333333333335,person,3557,1181,3689,1464
1368.0333333333335,person,1125,979,1185,1152
1368.0333333333335,traffic light,2884,751,2977,972
1368.0333333333335,person,3775,1087,3838,1435
1401.4,person,1356,1189,1466,1596
1401.4,car,2291,1915,3526,2143
1401.4,traffic light,520,716,690,1093
1401.4,traffic light,2873,749,2991,1033
1401.4,car,1858,953,1964,1058
1401.4,car,2040,1032,2227,1157
1401.4,person,3421,1164,3511,1398
1401.4,person,3265,1076,3317,1211
1401.4,person,3564,1182,3691,1464
1401.4,person,1126,980,1186,1154
